Hospital,Year,Quarter,State,Total_Revenue,Other_Operating_Revenue,Medicare_Revenue,Medicaid_Revenue,Self_Pay_Revenue,Commercial_Revenue,Other_Revenue
Asante Ashland Community Hospital,2023,3,Oregon,16705495,270707,3621665,6841946,-221728,4809844,1122067
Asante Ashland Community Hospital,2023,4,Oregon,20700654,75214,3832507,5088076,-744766,8006469,1273871
Asante Ashland Community Hospital,2024,1,Oregon,20817599,417191,3909486,6176201,-556289,7153379,1131861
Asante Ashland Community Hospital,2024,2,Oregon,20945780,163141,4891896,6739108,-606074,8846045,1287117
Asante Ashland Community Hospital,2024,3,Oregon,21042208,-45494,5466785,7133275,3273,6862374,438721
Asante Ashland Community Hospital,2024,4,Oregon,12641969,100244,1880827,7048642,-1510924,5742668,-214313
Kaiser Sunnyside Medical Center,2007,1,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2007,2,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2007,3,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2007,4,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2008,1,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2008,2,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2008,3,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2008,4,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2009,1,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2009,2,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2009,3,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2009,4,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2010,1,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2010,2,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2010,3,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2010,4,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2011,1,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2011,2,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2011,3,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2011,4,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2012,1,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2012,2,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2012,3,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2012,4,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2013,1,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2013,2,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2013,3,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2013,4,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2014,1,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2014,2,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2014,3,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2014,4,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2015,1,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2015,2,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2015,3,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2015,4,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2016,1,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2016,2,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2016,3,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2016,4,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2017,1,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2017,2,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2017,3,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2017,4,Oregon,0,0,0,0,0,0,0
Kaiser Sunnyside Medical Center,2018,1,Oregon,125168397,75449,0,0,0,0,0
Kaiser Sunnyside Medical Center,2018,2,Oregon,130476322,1450550,0,0,0,0,0
Kaiser Sunnyside Medical Center,2018,3,Oregon,121829341,-118752,0,0,0,0,0
Kaiser Sunnyside Medical Center,2018,4,Oregon,119920626,-987164,0,0,0,0,0
Kaiser Sunnyside Medical Center,2019,1,Oregon,125173832,-331722,0,0,0,0,0
Kaiser Sunnyside Medical Center,2019,2,Oregon,122403043,618768,0,0,0,0,0
Kaiser Sunnyside Medical Center,2019,3,Oregon,124670774,-378376,0,0,0,0,0
Kaiser Sunnyside Medical Center,2019,4,Oregon,129158982,187450,0,0,0,0,0
Kaiser Sunnyside Medical Center,2020,1,Oregon,121481460,-428406,0,0,0,0,0
Kaiser Sunnyside Medical Center,2020,2,Oregon,112155659,-611856,0,0,0,0,0
Kaiser Sunnyside Medical Center,2020,3,Oregon,125631017,-45273,0,0,0,0,0
Kaiser Sunnyside Medical Center,2020,4,Oregon,122623550,-300501,0,0,0,0,0
Kaiser Sunnyside Medical Center,2021,1,Oregon,124109865,6059321,36806959,4262598,3798392,71048637.22,4357
Kaiser Sunnyside Medical Center,2021,2,Oregon,134632805,7618309,37440086,4577371,5389897,77350443.38,-12923
Kaiser Sunnyside Medical Center,2021,3,Oregon,127456919,11299177,36809077,3951389,7162063,65876137,156820
Kaiser Sunnyside Medical Center,2021,4,Oregon,125545523,6289784,38332081,4932375,5459138,68530625,-125561
Kaiser Sunnyside Medical Center,2022,1,Oregon,123609380,6579465,40079345,5331130,5583416,63138267,257622
Kaiser Sunnyside Medical Center,2022,2,Oregon,135959934,7412018,43818025,5341142,6477638,70013119,-218315
Kaiser Sunnyside Medical Center,2022,3,Oregon,131740821,8304665,41310977,4487926,5638860,68778301,63263
Kaiser Sunnyside Medical Center,2022,4,Oregon,141582829,7808113,45086874,5230450,7911728,72273672,22106
Kaiser Sunnyside Medical Center,2023,1,Oregon,145288959,-66861,48401131,5339510,10085730,74421318,14088
Kaiser Sunnyside Medical Center,2023,2,Oregon,167738791,17688447,49712513,5165240,8068258,80090443,42984
Kaiser Sunnyside Medical Center,2023,3,Oregon,150471624,9472717,48060393,5315913,6720252,73867111,3066
Kaiser Sunnyside Medical Center,2023,4,Oregon,152531872,8801987,49261613,5389990,5475790,76218345,46555
Kaiser Sunnyside Medical Center,2024,1,Oregon,157635568,9584627,50403868,5414662,7990762,77243321,62989
Kaiser Sunnyside Medical Center,2024,2,Oregon,159416370,9030464,47944077,6085272,5674540,83597110,-39032
Kaiser Sunnyside Medical Center,2024,3,Oregon,159074718,9193756,51070393,6160234,8884466,76140580,90020
Kaiser Sunnyside Medical Center,2024,4,Oregon,160688603,9400942,53223518,9150015,6272270,75147266,3585
PeaceHealth Sacred Heart Medical Center - RiverBend,2008,3,Oregon,56800452,1562235,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2008,4,Oregon,109064730,1346748,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2009,1,Oregon,108863661,1552393,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2009,2,Oregon,116006618,1188414,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2009,3,Oregon,117879676,1781675,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2009,4,Oregon,115506478,66380,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2010,1,Oregon,111181494,1032787,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2010,2,Oregon,118199376,700567,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2010,3,Oregon,121222594,4111720,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2010,4,Oregon,132159429,3996088,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2011,1,Oregon,133223223,3926740,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2011,2,Oregon,129634773,2849767,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2011,3,Oregon,132805290,3962028,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2011,4,Oregon,139861549,3991517,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2012,1,Oregon,134274601,3903613,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2012,2,Oregon,138058138,6229887,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2012,3,Oregon,132750607,3668933,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2012,4,Oregon,145995093,6738335,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2013,1,Oregon,134921874,4427020,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2013,2,Oregon,136470512,3574649,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2013,3,Oregon,134531989,3025676,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2013,4,Oregon,140968737,3690887,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2014,1,Oregon,147867338,1975354,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2014,2,Oregon,148648019,4524172,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2014,3,Oregon,151138257,3109231,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2014,4,Oregon,163459035,3243387,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2015,1,Oregon,150984956,2595515,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2015,2,Oregon,178254237,16535395,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2015,3,Oregon,150065199,3466961,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2015,4,Oregon,162139450,3965671,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2016,1,Oregon,161905729,3599927,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2016,2,Oregon,162157915,14866645,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2016,3,Oregon,161744140,3349298,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2016,4,Oregon,169376718,3372650,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2017,1,Oregon,163482899,3172274,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2017,2,Oregon,177499115,7850818,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2017,3,Oregon,170095759,416015,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2017,4,Oregon,172400690,590002,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2018,1,Oregon,179601475,893701,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2018,2,Oregon,179865024,9224857,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2018,3,Oregon,181492930,678658,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2018,4,Oregon,196547328,831242,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2019,1,Oregon,184017374,1600969,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2019,2,Oregon,186178590,1125325,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2019,3,Oregon,189832279,254024,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2019,4,Oregon,194660366,927407,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2020,1,Oregon,175556629,493778,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2020,2,Oregon,182488114,25447342,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2020,3,Oregon,192337490,346385,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2020,4,Oregon,197326785,875165,0,0,0,0,0
PeaceHealth Sacred Heart Medical Center - RiverBend,2021,1,Oregon,181140758,1311350,63225007,33351495,402049,71157828.25,11633238
PeaceHealth Sacred Heart Medical Center - RiverBend,2021,2,Oregon,201393529,1790632,71562698,30653259,1077350,84280600.77,12230087
PeaceHealth Sacred Heart Medical Center - RiverBend,2021,3,Oregon,196315190,989444,63620657,40325746,929316,76660856,13685432
PeaceHealth Sacred Heart Medical Center - RiverBend,2021,4,Oregon,212460468,887001,75016237,37025234,432806,87435578,11694000
PeaceHealth Sacred Heart Medical Center - RiverBend,2022,1,Oregon,209957307,1594711,76914131,36889250,762767,80000908,13763426
PeaceHealth Sacred Heart Medical Center - RiverBend,2022,2,Oregon,193907921,1091131,69112102,33369991,1379004,79049637,9908722
PeaceHealth Sacred Heart Medical Center - RiverBend,2022,3,Oregon,205079674,882402,73618221,35552326,1528316,79931786,13553652
PeaceHealth Sacred Heart Medical Center - RiverBend,2022,4,Oregon,214542145,-736048,95500972,43633374,619438,83765566,-8296842
PeaceHealth Sacred Heart Medical Center - RiverBend,2023,1,Oregon,217001233,-855835,79144964,42850795,1005651,84397781,10621636
PeaceHealth Sacred Heart Medical Center - RiverBend,2023,2,Oregon,221857337,-1073993,79890170,46531598,420813,81309879,15083653
PeaceHealth Sacred Heart Medical Center - RiverBend,2023,3,Oregon,207569885,5301370,72185328,38412267,3269295,82396531,5991862
PeaceHealth Sacred Heart Medical Center - RiverBend,2023,4,Oregon,228698350,6495196,86112374,36025698,3005486,89670940,7797343
PeaceHealth Sacred Heart Medical Center - Riverbend,2024,1,Oregon,244712634,4481885,99113834,43489379,2055652,86837364,8955511
PeaceHealth Sacred Heart Medical Center - Riverbend,2024,2,Oregon,239731962,7403291,96113026,54667551,2504537,92044899,2865169
PeaceHealth Sacred Heart Medical Center - Riverbend,2024,3,Oregon,252859644,6904224,93662965,45912887,-314367,100987330,5786067
PeaceHealth Sacred Heart Medical Center - Riverbend,2024,4,Oregon,259845089,7586472,94241761,48090440,403030,105176371,4542854
Saint Alphonsus Medical Center - Baker City,2007,1,Oregon,5475255,135003,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2007,2,Oregon,5544918,128278,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2007,3,Oregon,5785874,51830,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2007,4,Oregon,6409935,39519,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2008,1,Oregon,6019994,32967,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2008,2,Oregon,6311709,656195,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2008,3,Oregon,6035610,19901,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2008,4,Oregon,6132114,71226,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2009,1,Oregon,6707717,14015,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2009,2,Oregon,6400016,107945,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2009,3,Oregon,5849808,30171,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2009,4,Oregon,6366665,71267,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2010,1,Oregon,6459324,43604,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2010,2,Oregon,6296254,55603,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2010,3,Oregon,6586600,23299,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2010,4,Oregon,6859400,25385,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2011,1,Oregon,6921231,28653,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2011,2,Oregon,6685505,60584,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2011,3,Oregon,6256484,37750,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2011,4,Oregon,6846984,48320,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2012,1,Oregon,8761157,39619,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2012,2,Oregon,7399775,115685,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2012,3,Oregon,7096377,26888,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2012,4,Oregon,6936754,45346,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2013,1,Oregon,8312001,145955,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2013,2,Oregon,7912318,321396,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2013,3,Oregon,7061459,105523,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2013,4,Oregon,8556090,100402,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2014,1,Oregon,7839813,120386,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2014,2,Oregon,8687720,267539,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2014,3,Oregon,8237454,204932,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2014,4,Oregon,7978692,38685,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2015,1,Oregon,7263912,98242,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2015,2,Oregon,7317341,312873,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2015,3,Oregon,7688053,250382,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2015,4,Oregon,8006172,660166,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2016,1,Oregon,7822633,84831,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2016,2,Oregon,7671503,266572,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2016,3,Oregon,8011943,613525,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2016,4,Oregon,7937908,74898,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2017,1,Oregon,7893970,75484,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2017,2,Oregon,7913907,92855,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2017,3,Oregon,8857673,961171,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2017,4,Oregon,8058256,142615,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2018,1,Oregon,7949119,148685,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2018,2,Oregon,8676591,156985,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2018,3,Oregon,9626112,1087962,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2018,4,Oregon,8502834,204061,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2019,1,Oregon,8888854,169212,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2019,2,Oregon,9450055,145241,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2019,3,Oregon,12126203,1133720,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2019,4,Oregon,9255851,391142,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2020,1,Oregon,7572282,297401,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2020,2,Oregon,10130123,1965671,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2020,3,Oregon,11309804,1086166,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2020,4,Oregon,11882005,2910759,0,0,0,0,0
Saint Alphonsus Medical Center - Baker City,2021,1,Oregon,9209754,285379,3515742,2252358,73645,2634405,0
Saint Alphonsus Medical Center - Baker City,2021,2,Oregon,9606300,306397,3936021,1427067,189287,3311674,0
Saint Alphonsus Medical Center - Baker City,2021,3,Oregon,9369331,325912,3952394,1893642,71063,3017133,0
Saint Alphonsus Medical Center - Baker City,2021,4,Oregon,12708433,2808662,4740245,1907048,27941,2874393,0
Saint Alphonsus Medical Center - Baker City,2022,1,Oregon,8545879,378509,4081181,1931997,-4096,2741169,0
Saint Alphonsus Medical Center - Baker City,2022,2,Oregon,7186740,343380,3808672,1627673,-36966,2362939,0
Saint Alphonsus Medical Center - Baker City,2022,3,Oregon,8580452,353653,4000894,1474440,64210,3039235,0
Saint Alphonsus Medical Center - Baker City,2022,4,Oregon,11319328,1659556,4629856,1733690,27338,2783703,0
Saint Alphonsus Medical Center - Baker City,2023,1,Oregon,9250719,407550,4029900,1587555,9864,2782169,0
Saint Alphonsus Medical Center - Baker City,2023,2,Oregon,8634316,404158,3735808,1731652,-64103,2506184,0
Saint Alphonsus Medical Center - Baker City,2023,3,Oregon,9060164,462549,4110108,1734737,54915,2881512,0
Saint Alphonsus Medical Center - Baker City,2023,4,Oregon,10631454,1681302,3335274,1773103,-103357,3115087,20290
Saint Alphonsus Medical Center - Baker City,2024,1,Oregon,9162457,318825,3467076,1675974,95715,3081786,0
Saint Alphonsus Medical Center - Baker City,2024,2,Oregon,8929901,357821,3840659,1561334,24030,2953531,0
Saint Alphonsus Medical Center - Baker City,2024,3,Oregon,9299250,340290,3666518,1588325,36734,3044420,0
Saint Alphonsus Medical Center - Baker City,2024,4,Oregon,9584570,944115,4161284,1776370,11623,2689112,0
Southern Coos Hospital & Health Center,2007,1,Oregon,3399201,9596,0,0,0,0,0
Southern Coos Hospital & Health Center,2007,2,Oregon,3812009,-26305,0,0,0,0,0
Southern Coos Hospital & Health Center,2007,3,Oregon,3375881,11179,0,0,0,0,0
Southern Coos Hospital & Health Center,2007,4,Oregon,3435912,7660,0,0,0,0,0
Southern Coos Hospital & Health Center,2008,1,Oregon,3669138,8471,0,0,0,0,0
Southern Coos Hospital & Health Center,2008,2,Oregon,3729617,7482,0,0,0,0,0
Southern Coos Hospital & Health Center,2008,3,Oregon,3254827,5228,0,0,0,0,0
Southern Coos Hospital & Health Center,2008,4,Oregon,3627107,4184,0,0,0,0,0
Southern Coos Hospital & Health Center,2009,1,Oregon,4284843,6932,0,0,0,0,0
Southern Coos Hospital & Health Center,2009,2,Oregon,3895171,3817,0,0,0,0,0
Southern Coos Hospital & Health Center,2009,3,Oregon,3969204,3891,0,0,0,0,0
Southern Coos Hospital & Health Center,2009,4,Oregon,3971580,3546,0,0,0,0,0
Southern Coos Hospital & Health Center,2010,1,Oregon,3889427,3945,0,0,0,0,0
Southern Coos Hospital & Health Center,2010,2,Oregon,4009787,2884,0,0,0,0,0
Southern Coos Hospital & Health Center,2010,3,Oregon,3951414,2608,0,0,0,0,0
Southern Coos Hospital & Health Center,2010,4,Oregon,3846910,3067,0,0,0,0,0
Southern Coos Hospital & Health Center,2011,1,Oregon,4044370,81644,0,0,0,0,0
Southern Coos Hospital & Health Center,2011,2,Oregon,4619740,3899,0,0,0,0,0
Southern Coos Hospital & Health Center,2011,3,Oregon,3649942,137266,0,0,0,0,0
Southern Coos Hospital & Health Center,2011,4,Oregon,4238982,1737,0,0,0,0,0
Southern Coos Hospital & Health Center,2012,1,Oregon,3457357,75101,0,0,0,0,0
Southern Coos Hospital & Health Center,2012,2,Oregon,3463070,2642,0,0,0,0,0
Southern Coos Hospital & Health Center,2012,3,Oregon,3487595,4957,0,0,0,0,0
Southern Coos Hospital & Health Center,2012,4,Oregon,3520111,14759,0,0,0,0,0
Southern Coos Hospital & Health Center,2013,1,Oregon,3828628,8084,0,0,0,0,0
Southern Coos Hospital & Health Center,2013,2,Oregon,3628743,3895,0,0,0,0,0
Southern Coos Hospital & Health Center,2013,3,Oregon,3357824,5849,0,0,0,0,0
Southern Coos Hospital & Health Center,2013,4,Oregon,3479563,14193,0,0,0,0,0
Southern Coos Hospital & Health Center,2014,1,Oregon,3815285,10627,0,0,0,0,0
Southern Coos Hospital & Health Center,2014,2,Oregon,6070014,2422,0,0,0,0,0
Southern Coos Hospital & Health Center,2014,3,Oregon,3685938,446,0,0,0,0,0
Southern Coos Hospital & Health Center,2014,4,Oregon,4160267,954,0,0,0,0,0
Southern Coos Hospital & Health Center,2015,1,Oregon,4276079,92786,0,0,0,0,0
Southern Coos Hospital & Health Center,2015,2,Oregon,5180888,702483,0,0,0,0,0
Southern Coos Hospital & Health Center,2015,3,Oregon,4528636,83751,0,0,0,0,0
Southern Coos Hospital & Health Center,2015,4,Oregon,3875435,77451,0,0,0,0,0
Southern Coos Hospital & Health Center,2016,1,Oregon,4621788,526971,0,0,0,0,0
Southern Coos Hospital & Health Center,2016,2,Oregon,4231135,175764,0,0,0,0,0
Southern Coos Hospital & Health Center,2016,3,Oregon,4395139,50996,0,0,0,0,0
Southern Coos Hospital & Health Center,2016,4,Oregon,4295466,1898,0,0,0,0,0
Southern Coos Hospital & Health Center,2017,1,Oregon,4454840,790,0,0,0,0,0
Southern Coos Hospital & Health Center,2017,2,Oregon,4805019,135681,0,0,0,0,0
Southern Coos Hospital & Health Center,2017,3,Oregon,4624303,598,0,0,0,0,0
Southern Coos Hospital & Health Center,2017,4,Oregon,5050434,1035,0,0,0,0,0
Southern Coos Hospital & Health Center,2018,1,Oregon,5156452,670,0,0,0,0,0
Southern Coos Hospital & Health Center,2018,2,Oregon,5369256,783,0,0,0,0,0
Southern Coos Hospital & Health Center,2018,3,Oregon,5492364,21085,0,0,0,0,0
Southern Coos Hospital & Health Center,2018,4,Oregon,5252127,4240,0,0,0,0,0
Southern Coos Hospital & Health Center,2019,1,Oregon,5316588,128873,0,0,0,0,0
Southern Coos Hospital & Health Center,2019,2,Oregon,5446345,35083,0,0,0,0,0
Southern Coos Hospital & Health Center,2019,3,Oregon,5629090,26968,0,0,0,0,0
Southern Coos Hospital & Health Center,2019,4,Oregon,6149898,202217,0,0,0,0,0
Southern Coos Hospital & Health Center,2020,1,Oregon,5759609,22665,0,0,0,0,0
Southern Coos Hospital & Health Center,2020,2,Oregon,4190021,11157,0,0,0,0,0
Southern Coos Hospital & Health Center,2020,3,Oregon,5455599,9376,0,0,0,0,0
Southern Coos Hospital & Health Center,2020,4,Oregon,5782763,5211,0,0,0,0,0
Southern Coos Hospital & Health Center,2021,1,Oregon,5830531,24852,3380295,814454,61674,173402.8203,970034
Southern Coos Hospital & Health Center,2021,2,Oregon,15843839,160,4662610,865354,152415,381160,602959
Southern Coos Hospital & Health Center,2021,3,Oregon,6586952,793,3445972,843091,253580,391877,1303086
Southern Coos Hospital & Health Center,2021,4,Oregon,6295732,-108,3329756,1137862,115357,236534,1176668
Southern Coos Hospital & Health Center,2022,1,Oregon,7015896,90,3921849,879073,102781,566668,1327535
Southern Coos Hospital & Health Center,2022,2,Oregon,6817639,32005,3349768,1087570,94980,680538,1276874
Southern Coos Hospital & Health Center,2022,3,Oregon,7428448,45,3742580,1139580,104320,447675,1673388
Southern Coos Hospital & Health Center,2022,4,Oregon,7274789,60,4275049,1192443,23538,635178,801396
Southern Coos Hospital & Health Center,2023,1,Oregon,7231208,135301,4539924,1064191,-65411,779300,408856
Southern Coos Hospital & Health Center,2023,2,Oregon,7485406,2652,4672053,1337859,-95505,599698,524754
Southern Coos Hospital & Health Center,2023,3,Oregon,7648946,120,4968524,1341289,-114752,633249,448086
Southern Coos Hospital & Health Center,2023,4,Oregon,8388269,7900,5372503,1435012,-120880,792322,500433
Southern Coos Hospital & Health Center,2024,1,Oregon,8460864,46823,5525573,1318604,190287,406603,636605
Southern Coos Hospital & Health Center,2024,2,Oregon,8902476,47136,5733639,1317240,-131868,924616,568181
Southern Coos Hospital & Health Center,2024,3,Oregon,8461235,19789,5394902,1490563,-87604,776484,464273
